,"Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping","Hong Kong Monetary Authority (HKMA) Cyber Resilience Assessment Framework (C-RAF) 2.0		
to CRI Profile ver. 2.1 Mapping",,
HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,HKMA Cyber Resilience Assessment Framework (C-RAF) 2.0,Mapping Relationship,Mapping Relationship,Mapping Relationship,Mapping Relationship,CRI Profile ver. 2.1,CRI Profile ver. 2.1,CRI Profile ver. 2.1
C-RAF Domain / Component / Subcomponent,Level,C-RAF Statement,Rationale,Relationship,ACS,FCS,CRI Profile Statement,Profile Function / Category / Subcategory,Outline Id
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,"3.1.5.7: Users are required to protect information about remote access mechanisms from unauthorised use and disclosure (e.g. attending security training specifically for remote access rights granted, acknowledging access agreement, etc.).",Semantic,Intersects with,7,8,"GV.PO-01.04: All personnel (employees and third party) consent to policies addressing acceptable technology use, social media use, personal device use (e.g., BYOD), confidentiality, and/or other security-related policies and agreements as warranted by their position.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.062
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,"3.1.5.7: Users are required to protect information about remote access mechanisms from unauthorised use and disclosure (e.g. attending security training specifically for remote access rights granted, acknowledging access agreement, etc.).",Semantic,Intersects with,7,8,"PR.AT-01.02: Cybersecurity awareness training includes, at a minimum, awareness of and competencies for data protection, personal data handling, compliance obligations, working with third parties, detecting cyber risks, and how to report any unusual activity or incidents.",PROTECT / Awareness and Training / User Awareness & Training,077.176
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,"3.1.5.7: Users are required to protect information about remote access mechanisms from unauthorised use and disclosure (e.g. attending security training specifically for remote access rights granted, acknowledging access agreement, etc.).",Semantic,Intersects with,7,8,"PR.AT-02.02: High-risk groups, such as those with elevated privileges or in sensitive business functions (including privileged users, senior executives, cybersecurity personnel and third-party stakeholders), receive cybersecurity situational awareness training for their roles and responsibilities.",PROTECT / Awareness and Training / Specialized Role Awareness & Training,078.180
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,"3.1.5.7: Users are required to protect information about remote access mechanisms from unauthorised use and disclosure (e.g. attending security training specifically for remote access rights granted, acknowledging access agreement, etc.).",Semantic,Intersects with,7,8,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,"3.1.5.7: Users are required to protect information about remote access mechanisms from unauthorised use and disclosure (e.g. attending security training specifically for remote access rights granted, acknowledging access agreement, etc.).",Semantic,Intersects with,7,8,"PR.IR-01.08: The organization implements policies, procedures, end-user agreements, and technical controls to address the risks of end-user mobile or personal computing devices accessing the organization's network and resources.",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.231
Domain 3 Protection / 3.1 Access Control / 3.1.5 Remote access management,Advanced,3.1.5.8: There exists the capability to disconnect or disable remote access to the information system expeditiously.,Semantic,Subset of,9,10,"PR.IR-01.05: Remote access is carefully controlled (e.g., restricted to defined systems, access is actively managed (e.g., session timeouts, logging, forced disconnect, etc.), and encrypted connections with multi-factor authentication are used).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.228
Domain 3 Protection / 3.1 Access Control / 3.1.6 Wireless access management,Baseline,"3.1.6.1: Usage restrictions, configuration/connection requirements, and implementation guidance have been established.",Semantic,Intersects with,9,10,"GV.PO-01.04: All personnel (employees and third party) consent to policies addressing acceptable technology use, social media use, personal device use (e.g., BYOD), confidentiality, and/or other security-related policies and agreements as warranted by their position.","GOVERN / Policies, Processes, and Procedures / Establishment of Policies & Procedures",024.062
Domain 3 Protection / 3.1 Access Control / 3.1.6 Wireless access management,Baseline,"3.1.6.1: Usage restrictions, configuration/connection requirements, and implementation guidance have been established.",Semantic,Subset of,9,10,"PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.227
Domain 3 Protection / 3.1 Access Control / 3.1.6 Wireless access management,Baseline,3.1.6.2: Authorisation of wireless access to the information system is required before allowing a connection to access the network.,Semantic,Intersects with,8,10,"PR.AA-02.01: The organization authenticates identity, validates the authorization level of a user before granting access to its systems, limits the use of an account to a single individual, and attributes activities to the user in logs and transactions.","PROTECT / Identity Management, Authentication, and Access Control / Identity Binding to Credentials",071.164
Domain 3 Protection / 3.1 Access Control / 3.1.6 Wireless access management,Baseline,3.1.6.2: Authorisation of wireless access to the information system is required before allowing a connection to access the network.,Semantic,Subset of,9,10,"PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.227
Domain 3 Protection / 3.1 Access Control / 3.1.6 Wireless access management,Intermediate,"3.1.6.3: The information system protects wireless access to the system using authentication of users and devices, as well as encryption.",Semantic,Subset of,10,7,"PR.IR-01.04: The organization controls access to its wireless networks and the information that these networks process by implementing appropriate mechanisms (e.g., strong authentication for authentication and transmission, preventing unauthorized devices from connecting to the internal networks, restricting unauthorized traffic, and segregating guest wireless networks).",PROTECT / Technology Infrastructure Resilience / Logical Access Protections,093.227
Domain 3 Protection / 3.1 Access Control / 3.1.6 Wireless access management,Advanced,3.1.6.4: Strict controls are in place to identify and limit the configuration of the wireless network by users.,Semantic,Intersects with,8,9,"PR.PS-01.08: End-user mobile or personal computing devices accessing the organization's network employ mechanisms to protect network, application, and data integrity, such as ""Mobile Device Management (MDM)"" and ""Mobile Application Management (MAM)"" technologies, device fingerprinting, storage containerization and encryption, integrity scanning, automated patch application, remote wipe, and data leakage protections.",PROTECT / Platform Security / Configuration Management,085.200
